id,fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,stats_fetched_at,home_xg_ht,away_xg_ht
68435,148274,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,54,46,18,22,2,1,,,0,0,2026-03-10 12:18:34.01674+00,,
138144,218984,18,10,5,3,13,3,5,7,5,3,1,0,2.32,0.59,4,4,3,5,0,0,48,52,15,13,3,0,86,86,2,1,,,
160260,248473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
43562,107256,17,9,4,3,11,3,6,6,6,0,0,0,1.48,0.56,3,2,1,1,0,0,56,44,10,10,1,1,86,81,1,1,,,
160261,248474,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160262,248475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160263,248476,5,9,2,4,0,0,0,0,0,0,0,0,0,0,3,4,5,0,1,0,,,,,,,,,0,1,,,
160264,248477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160265,248478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
160266,248479,0,0,0,0,0,0,0,0,0,0,1,2,0.76,1.52,0,0,0,0,0,0,,,,,,,,,1,0,,,
160268,248481,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160270,248483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160274,248487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160269,248482,6,17,1,7,0,0,0,0,0,0,0,0,0,0,1,11,2,1,0,0,,,,,,,,,0,0,,,
160271,248484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160275,248488,6,6,1,2,0,0,0,0,0,0,0,0,0,0,8,4,3,1,0,0,,,,,,,,,0,0,,,
160277,248490,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
160278,248491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160279,248492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160280,248493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,2,,,
160281,248494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160282,248495,3,10,2,4,0,0,0,0,0,0,0,0,0,0,16,2,2,4,1,0,,,,,,,,,0,1,,,
160283,248496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160285,248498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160286,248499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160287,248500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160288,248501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160289,248502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160292,248505,8,7,2,2,0,0,0,0,0,0,0,0,0,0,11,3,2,4,0,0,,,,,,,,,1,0,,,
160293,248506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160296,248509,5,14,2,10,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,,,,,,,,,0,2,,,
160297,248510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160298,248511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160300,248513,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160301,248514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160299,248512,7,12,3,7,0,0,0,0,0,0,0,0,0,0,3,7,1,2,0,0,,,,,,,,,1,1,,,
160303,248516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160304,248517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160295,248508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
194200,290715,15,2,6,2,0,0,0,0,0,0,0,0,0,0,7,1,2,5,0,0,,,,,,,,,1,2,,,
194199,290714,15,2,8,0,0,0,0,0,0,0,1,0,0.76,0,2,1,2,1,0,1,,,,,,,,,1,0,,,
194194,290709,3,14,3,2,0,0,0,0,0,0,0,0,0,0,2,6,4,1,1,0,,,,,,,,,2,0,,,
194197,290712,7,5,3,3,0,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,,,,,,,,,0,0,,,
194195,290710,12,7,5,4,0,0,0,0,0,0,0,0,0,0,9,3,0,1,0,0,,,,,,,,,0,0,,,
194193,290708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
194192,290707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
194190,290705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
194191,290706,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,1,2,,,
194184,290699,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
194185,290700,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,0,0,,,
194186,290701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
72009,109982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 12:18:33.839162+00,,
160307,248520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,,
160308,248521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
66428,146267,16,9,9,2,10,7,6,2,3,2,1,1,2,1.52,4,1,2,4,0,0,50,50,11,20,5,1,67,71,1,1,,,
160309,248522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,3,0,,,
311724,325335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,
48565,114353,17,25,6,11,8,11,9,14,4,4,0,0,1.24,1.76,7,8,3,1,0,0,55,45,9,8,2,2,81,86,1,3,,,
160305,248518,4,24,2,15,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,0,,,,,,,,,0,1,,,
160294,248507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
