id,fixture_id,home_win,draw,away_win,bookmaker,source
1,1,8.0,5.5,1.33,Bet365,CSV
2,2,1.18,7.0,15.0,Bet365,CSV
3,3,2.7,3.4,2.55,Bet365,CSV
4,4,1.33,5.5,9.0,Bet365,CSV
5,5,2.2,3.4,3.3,Bet365,CSV
6,6,3.0,3.3,2.38,Bet365,CSV
7,7,1.75,3.75,4.6,Bet365,CSV
8,8,2.75,3.4,2.45,Bet365,CSV
9,9,2.9,3.4,2.38,Bet365,CSV
10,10,1.33,5.5,9.0,Bet365,CSV
11,11,1.95,3.4,4.0,Bet365,CSV
12,12,2.7,3.3,2.63,Bet365,CSV
13,13,1.2,7.0,13.0,Bet365,CSV
14,14,4.0,3.8,1.85,Bet365,CSV
15,15,2.8,3.6,2.38,Bet365,CSV
16,16,1.67,4.0,5.0,Bet365,CSV
17,17,1.7,4.0,4.5,Bet365,CSV
18,18,3.75,3.5,2.0,Bet365,CSV
19,19,5.5,4.0,1.6,Bet365,CSV
20,20,1.29,5.5,11.0,Bet365,CSV
21,21,3.8,3.75,1.91,Bet365,CSV
22,22,1.2,7.0,13.0,Bet365,CSV
23,23,2.15,3.4,3.5,Bet365,CSV
24,24,2.3,3.3,3.2,Bet365,CSV
25,25,1.3,6.0,8.0,Bet365,CSV
26,26,1.53,4.75,5.25,Bet365,CSV
27,27,3.4,3.4,2.15,Bet365,CSV
28,28,13.0,8.0,1.17,Bet365,CSV
29,29,2.2,3.75,3.0,Bet365,CSV
30,30,4.75,3.8,1.73,Bet365,CSV
31,31,2.9,3.25,2.5,Bet365,CSV
32,32,1.73,3.8,4.75,Bet365,CSV
33,33,3.6,4.0,1.85,Bet365,CSV
34,34,1.4,4.5,8.5,Bet365,CSV
35,35,1.17,8.0,15.0,Bet365,CSV
36,36,2.5,3.8,2.55,Bet365,CSV
37,37,1.91,3.3,4.33,Bet365,CSV
38,38,1.65,4.5,4.5,Bet365,CSV
39,39,1.75,3.8,4.5,Bet365,CSV
40,40,6.0,5.0,1.45,Bet365,CSV
41,41,1.91,3.6,4.0,Bet365,CSV
42,42,1.67,3.75,5.5,Bet365,CSV
43,43,2.15,4.0,2.88,Bet365,CSV
44,44,1.29,5.5,11.0,Bet365,CSV
45,45,7.0,4.5,1.45,Bet365,CSV
46,46,1.53,4.2,6.0,Bet365,CSV
47,47,4.33,3.75,1.8,Bet365,CSV
48,48,6.0,4.5,1.5,Bet365,CSV
49,49,2.2,3.5,3.25,Bet365,CSV
