id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
123241,585766,S. Szllard,,,,,,,
60412,114056,H. Momi,,,,,,,
35076,118823,F. Spiess,,,,,,,
47937,560763,J. Briggs,,,,,,,
68897,70914,Lucas Farias,,,,,,,https://media.api-sports.io/football/players/70914.png
74884,117414,G. Webster,,,,,,,
60413,29636,S. Paulle,,,,,,,
74885,117415,J. McCluskey,,,,,,,
977,21089,Fábio,,,,,,,https://media.api-sports.io/football/players/21089.png
914,105837,A. Arshavin,,,,,,,
154096,539587,I. Ogba,,,,,,,
35084,82212,A. McGurk,,,,,,,https://media.api-sports.io/football/players/82212.png
63193,25339,P. Ernesto,,,,,,,
44969,19731,K. Brown,,,,,,,
56190,91566,D. Corvia,,,,,,,
215078,562463,Ze Oliveira,,,,,,,
921,111312,Carlos Cuéllar,,,,,,,
49338,119740,S. One,,,,,,,https://media.api-sports.io/football/players/119740.png
18659,87727,J. Helan,,,,,,,https://media.api-sports.io/football/players/87727.png
46081,431119,Leon Ayinde,,,,,,,https://media.api-sports.io/football/players/431119.png
74886,117416,J. Reid,,,,,,,
97330,190612,O. Carrara,,,,,,,
43087,41229,Mika,,,,,,,https://media.api-sports.io/football/players/41229.png
215079,563452,Tiago Caveira,,,,,,,
47569,375872,Moe Shubbar,,,,,,,https://media.api-sports.io/football/players/375872.png
74887,89600,L. McIntosh,,,,,,,
45552,163061,A. Sharif,,,,,,,https://media.api-sports.io/football/players/163061.png
930,114820,L. Saha,,,,,,,
44972,19692,C. Johnson,,,,,,,
48417,116940,Rodolfo Bodipo,,,,,,,
35058,118773,Shane Byrne,,,,,,,https://media.api-sports.io/football/players/118773.png
935,114818,T. Bramble,,,,,,,
97331,190615,C. Lykke,,,,,,,
45385,356543,T. Briscoe,,,,,,,https://media.api-sports.io/football/players/356543.png
937,104311,M. Schwarzer,,,,,,,
86500,94613,M. Dioury,,,,,,,https://media.api-sports.io/football/players/94613.png
178826,117959,I. Vicelich,,,,,,,
146428,518792,Pavle Mandic,,,,,,,https://media.api-sports.io/football/players/518792.png
46518,278073,Tyrese Dyce,,,,,,,https://media.api-sports.io/football/players/278073.png
154097,637381,I. Ben Hassine,,,,,,,
942,113928,M. Diarra,,,,,,,
48421,77609,Jorge Pesca,,,,,,,https://media.api-sports.io/football/players/77609.png
35078,118638,M. West,,,,,,,https://media.api-sports.io/football/players/118638.png
944,114775,D. Duff,,,,,,,
56192,31438,A. Cocco,,,,,,,https://media.api-sports.io/football/players/31438.png
154098,601733,A. M. Yassine,,,,,,,
