id,name,api_football_id,fd_name,rating_mu,rating_sigma
1,Burnley,44.0,Burnley,1534.810060948525,4.344481473547459
2,Man City,50.0,Man City,1563.6918334521881,3.34396668626961
3,Arsenal,42.0,Arsenal,1564.311010000727,2.8461542464015674
4,Nott'm Forest,65.0,Nott'm Forest,1541.406844273478,3.438524337912431
5,Bournemouth,35.0,Bournemouth,1548.7902058852933,3.2352333773386337
6,West Ham,48.0,West Ham,1555.8557388882177,2.7519889304024363
7,Brighton,51.0,Brighton,1557.5255161850694,2.8125490486085885
8,Luton,1359.0,Luton,1514.9450732544537,2.713625285580967
9,Everton,45.0,Everton,1554.146217935723,2.9826990053569458
10,Fulham,36.0,Fulham,1551.8135989935708,3.199242279397908
11,Sheffield United,62.0,Sheffield United,1512.989665620446,2.8483748444477324
12,Crystal Palace,52.0,Crystal Palace,1559.334829264963,2.8342396310999836
13,Newcastle,34.0,Newcastle,1562.3061933616848,2.7775677083727244
14,Aston Villa,66.0,Aston Villa,1557.5948619277942,2.696671600925191
15,Brentford,55.0,Brentford,1552.3087482881388,2.9124998596356124
16,Tottenham,47.0,Tottenham,1559.9197140713288,2.7451643375116346
17,Chelsea,49.0,Chelsea,1558.3917193837458,2.8271937689269597
18,Liverpool,40.0,Liverpool,1563.6455350791375,2.8762211393484765
19,Man United,33.0,Man United,1558.5533346265154,2.73891667906147
20,Wolves,39.0,Wolves,1553.4238613073883,2.8956557657236766
21,Leeds,63.0,Leeds,1521.4963387331925,3.7367894272927287
22,Southampton,41.0,Southampton,1523.744170604032,3.6424251773425858
23,Leicester,46.0,Leicester,1533.244450478395,3.6369220006605656
24,Watford,38.0,Watford,1503.6201186177873,2.493555195130806
25,Norwich,71.0,Norwich,1505.935163877597,2.4966529712371477
26,West Brom,60.0,West Brom,1504.8544718624898,2.278347303772703
27,Sheffield Weds,74.0,Sheffield Weds,1503.7990028919717,2.299975504782992
28,Blackburn,67.0,Blackburn,1503.0321203447306,2.203863228480608
29,Bristol City,56.0,Bristol City,1504.2316408037443,2.217357790879688
30,Preston,59.0,Preston,1504.0641439820558,2.2344593283016376
31,Middlesbrough,70.0,Middlesbrough,1506.285916853057,2.22952771178786
