key,name,category_key,category_name,max_events,times_seen,sources
soccer-albania-kategoria-superiore,Kategoria Superiore,albania,Albania,0,0,probe
soccer-algeria-ligue-1,Ligue 1,algeria,Algeria,0,0,probe
soccer-algeria-super-cup,Super Cup,algeria,Algeria,0,0,probe
soccer-argentina-copa-argentina,Copa Argentina,argentina,Argentina,6,2,feed
soccer-argentina-superliga,Liga Profesional,argentina,Argentina,3,2,"feed,probe"
soccer-argentina-primera-b,Primera B,argentina,Argentina,7,2,feed
soccer-argentina-primera-division,Primera Division,argentina,Argentina,0,0,probe
soccer-argentina-primera-nacional,Primera Nacional,argentina,Argentina,20,2,feed
soccer-argentina-super-cup,Super Cup,argentina,Argentina,0,0,probe
soccer-armenia-first-league,First League,armenia,Armenia,0,0,probe
soccer-armenia-premier-league,Premier League,armenia,Armenia,0,0,probe
soccer-armenia-super-cup,Super Cup,armenia,Armenia,0,0,probe
soccer-aruba-cup,Cup,aruba,Aruba,0,0,probe
soccer-australia-tbd94-australia-npl-queensland-youth-league-u23,Australia NPL Queensland Youth League U23,australia,Australia,2,2,feed
soccer-australia-brisbane-premier-league,Brisbane Premier League,australia,Australia,2,2,feed
soccer-australia-npl-capital-football,Capital NPL 1,australia,Australia,1,2,feed
soccer-australia-npl-northern-new-south-wales,Northern NSW NPL,australia,Australia,1,2,feed
soccer-australia-npl-queensland-women,"Queensland NPL, Women",australia,Australia,1,2,feed
soccer-australia-t6bac-queensland-premier-league-2,Queensland Premier League 2,australia,Australia,1,2,feed
soccer-australia-t7d56-queensland-premier-league-3,Queensland Premier League 3,australia,Australia,9,0,feed
soccer-australia-super-cup,Super Cup,australia,Australia,0,0,probe
soccer-austria-2-liga,2. Liga,austria,Austria,0,0,probe
soccer-austria-bundesliga,Bundesliga,austria,Austria,0,0,probe
soccer-azerbaijan-first-division,First Division,azerbaijan,Azerbaijan,0,0,probe
soccer-azerbaijan-premier-league,Premier League,azerbaijan,Azerbaijan,0,0,probe
soccer-bahrain-premier-league,Premier League,bahrain,Bahrain,0,0,probe
soccer-bangladesh-championship,Championship,bangladesh,Bangladesh,0,0,probe
soccer-bangladesh-premier-league,Premier League,bangladesh,Bangladesh,0,0,probe
soccer-barbados-premier-league,Premier League,barbados,Barbados,0,0,probe
soccer-belarus-super-cup,Super Cup,belarus,Belarus,0,0,probe
soccer-belarus-vysshaya-liga,Vysshaya Liga,belarus,Belarus,9,2,feed
soccer-belgium-pro-league,Pro League,belgium,Belgium,0,0,probe
soccer-belgium-super-cup,Super Cup,belgium,Belgium,0,0,probe
soccer-bolivia-division-profesional,Division Profesional,bolivia,Bolivia,0,0,probe
soccer-bosnia-herzegovina-premijer-liga,Premijer Liga,bosnia-herzegovina,Bosnia & Herzegovina,0,0,probe
soccer-botswana-premier-league,Premier League,botswana,Botswana,0,0,probe
soccer-brazil-brasileiro-serie-a,Brasileiro Serie A,brazil,Brazil,17,2,feed
soccer-brazil-brasileiro-serie-b,Brasileiro Serie B,brazil,Brazil,16,2,feed
soccer-brazil-brasileiro-serie-c,Brasileiro Serie C,brazil,Brazil,3,2,feed
soccer-brazil-carioca-serie-b1,"Carioca, Serie A2",brazil,Brazil,1,2,feed
soccer-brazil-catarinense,Catarinense,brazil,Brazil,2,2,feed
soccer-brazil-t7373-copa-espirito-santo,Copa Espirito Santo,brazil,Brazil,1,2,feed
soccer-brazil-copa-do-brasil,Copa do Brasil,brazil,Brazil,8,2,feed
