fixture_id,team_id,team_name,coach_name,coach_api_id,formation,in_csv,in_pq
253886,2789,Palmeiras,,,,false,true
194607,2165,Bury,R. Lowe,618,,false,true
272045,626,Wolfsberger AC,H. Pfeifenberger,8567,4-4-2,false,true
599754,1075,Palestino,Cristian Munoz,25833,4-1-4-1,false,false
133115,1613,El Geish,Emad El Nahhas,902,3-4-2-1,false,true
369358,1349,Vilaverdense,António Barbosa,9573,,false,true
280787,742,AIK,R. Norling,1375,4-3-3,false,true
143754,1773,Deportivo Saprissa,V. Quesada,3179,,false,true
100126690,100003567,Altınordu,H. Eroğlu,1284,,false,false
230822,265,Heidenheim,F. Schmidt,1335,4-3-3,false,true
308657,992,Internacional de Bogota,Diego Merino Rivera,6840,4-3-3,false,true
293620,4521,Panthrakikos,,,,false,true
256751,456,Bragantino,Pedro Caixinha,1686,4-3-3,false,true
94831,959,Sampaio Correa,Leonardo Condé,2581,4-2-3-1,false,true
237857,1380,Maritimo,José Gomes,94,4-4-2,false,true
200637,102,Valencia,Celades,1601,4-4-2,false,true
216699,244,Caen,P. Garande,8663,4-3-3,false,true
225790,279,Hannover,A. Breitenreiter,3082,4-4-2,false,true
321575,960,Atletico Goianiense,Marcelo Cabo,236,,false,true
339092,1452,Dila,I. Modebadze,11341,,false,true
252243,419,Raith Rvs,B. Robson,15123,,false,true
323075,967,remo,António José Cardoso de Oliveira,14761,4-1-4-1,false,true
323782,1088,Bolívar,C. Vigevani,810,,false,true
279196,698,Lanus,Mauricio Andrés Pellegrino Luna,1587,4-2-3-1,false,true
29113,371,Kasimpasa,S. Uğurlu,17889,4-2-3-1,false,true
374373,668,Legia Warszawa,Marek Papszun,26012,3-5-2,false,false
100881560,4407,Enisey,A. Ivakhov,19517,4-2-3-1,false,false
269741,605,Orenburg,V. Fedotov,1312,3-5-2,false,true
282709,4463,Aalborg,,,,false,true
357401,35,Huddersfield,,,,false,true
212031,153,Empoli,A. Andreazzoli,2439,4-3-1-2,false,true
285922,806,Tianjin Jinmen Tiger,Yu Genwei,14508,4-1-4-1,false,true
253058,2790,Atletico Paranaense,,,,false,true
252261,417,Ayr,S. Brown,17756,,false,true
326042,4660,Bidvest Wits,G. Hunt,2233,,false,true
93838,945,CRB,Daniel Paulista,3068,4-3-3,false,true
274881,653,Winterthur,O. Zaric,4918,4-2-3-1,false,true
115878,1329,Metalac GM,Ž. Lazetić,12159,3-4-2-1,false,true
132552,1611,Haras El Hodood,Ahmed Eid,23884,5-3-2,false,true
206057,129,Zaragoza,David Navarro,6743,4-3-3,false,true
100315801,100010001,Frei Paulistano,Betinho,5161,4-4-2,false,false
230391,263,Bochum,T. Reis,1347,4-2-3-1,false,true
113842,1275,Sabah FA,Vicente Gómez,1268,,false,true
318815,1567,Esteghlal Khuzestan,S. Pourmousavi,4194,,false,true
341320,1148,Zamora FC,,,,false,true
363396,2704,Yeovil Town,,,,false,true
187042,42,Cardiff,N. Warnock,101,4-3-3,false,true
120936,1409,FK Sarajevo,,,,false,true
100668,1037,12 de Octubre,M. Jara,653,,false,true
319380,1574,Tractor Sazi,G. Leekens,3295,,false,true
144960,1783,CD Olimpia,P. Troglio,2759,,false,true
276968,688,Puszcza,T. Tułacz,1235,4-4-1-1,false,true
112904,1257,Radomlje,N. Bašić,4617,,false,true
370221,310,Go Ahead Eagles,J. de Gier,1477,,false,true
346057,1486,Rīgas FS,Viktors Morozs,2040,,false,true
111339,1242,Dukla Banská Bystrica,M. Poljovka,13422,3-5-2,false,true
242510,357,Gent,H. Vanhaezebrouck,2880,3-4-1-2,false,true
4698,48,Barnsley,N. Collins,1041,3-4-1-2,false,true
275826,4430,Podbeskidzie,K. Brede,1243,4-2-3-1,false,true
363761,62,Northampton,K. Curle,586,,false,true
136068,1686,Baroka FC,K. Thobejane,8503,4-2-3-1,false,true
239830,360,Mechelen,,,,false,true
164075,3714,Fabrègues,L. Scala,6432,,false,true
197831,114,Barcelona,,,,false,true
170029,33,Hull,,,,false,true
268936,559,Valerenga,Geir Bakke,1946,4-4-2,false,true
122906,1479,Roda,B. Sibum,20449,4-2-3-1,false,true
236167,1342,Belenenses,,,,false,true
93832,963,ABC,Argel Fuchs,2081,4-2-3-1,false,true
316929,1777,Limon FC,L. Fallas,7790,,false,true
249446,409,Dundee United,T. Courts,14870,4-3-3,false,true
603916,5996,Bandırmaspor,Mustafa Gürsel,14967,5-4-1,false,false
257611,4371,Whitecaps,,,,false,true
274366,641,Lausanne,G. Contini,1505,4-3-3,false,true
325750,1674,Supersport United,E. Tinkler,2239,,false,true
200666,102,Valencia,Celades,1601,4-4-2,false,true
606282,6051,FC Slutsk,Aleksandr Gurinovich,19511,4-3-1-2,false,false
204190,137,Mirandes,Andoni Iraola,2108,4-4-1-1,false,true
191742,56,Lincoln,M. Appleton,645,4-3-3,false,true
256352,431,Corinthians,Vítor Pereira,55,4-2-3-1,false,true
221387,227,Auxerre,F. Gillot,10264,4-2-3-1,false,true
111474,1233,Podbrezová,R. Skuhravý,1180,3-4-3,false,true
100718090,6018,SV Lafnitz,P. Semlic,7785,4-3-3,false,false
226099,262,Stuttgart,M. Weinzierl,3086,5-3-2,false,true
136426,1697,ES Zarzis,A. Boujelbene,3304,,false,true
207235,157,Genoa,,,,false,true
202289,114,Barcelona,H. Flick,6472,4-2-3-1,false,true
322883,962,Londrina,Silvinho Canuto,6352,4-2-3-1,false,true
289040,865,FC Hermannstadt,M. Măldărăşanu,755,3-4-1-2,false,true
100820,1052,Progreso,C. Canobbio,17983,3-4-1-2,false,true
338594,347,St. Gilloise,M. Grosjean,8141,,false,true
100881482,6517,FK Neftekhimik,K. Novikov,4831,5-4-1,false,false
336460,1418,Borac Banja Luka,B. Krunić,4421,,false,true
247984,418,Partick,,,,false,true
100013,1011,Aucas,D. Tempesta,9843,,false,true
274701,4422,FC Sion,P. Tramezzani,2512,4-3-3,false,true
195181,57,Cambridge,M. Bonner,2976,4-4-2,false,true
124005,1476,VVV Venlo,J. Luhukay,1345,4-4-2,false,true
247705,418,Partick,,,,false,true
246234,382,Rizespor,H. Hamzaoğlu,3286,4-2-3-1,false,true
239329,327,Sp Lisbon,Rui Manuel Gomes Borges,2803,4-2-3-1,false,true
