id,fixture_id,team_id,player_id,player_name,is_starter,position,number,captain,minutes,rating
1893364,215019,4328,57902,I. M'barki,true,,5.0,false,,
3807132,42631,483,50688,Thiago Almada,true,M,10.0,false,90.0,7.9
8972868,154257,2771,166397,Daler Imomnazarov,false,D,24.0,false,,
1530710,207859,158,53727,Josip Iličić,true,F,72.0,false,86.0,7.5
7551039,326500,1671,142222,S. Zulu,true,,37.0,false,,
6579660,313326,1034,84831,L. Miño,false,,,false,,
285642,177603,2690,974,A. Ferdinand,true,D,5.0,false,,
7335009,103420,1088,137904,Ruben Cordano Justiniano,false,,12.0,false,,
10000738,164696,1336,70156,S. Lima,true,,23.0,false,,
5108133,287898,845,100025,F. Cristea,true,,88.0,false,,
2698356,24781,313,19083,Rajiv Van La Parra,false,F,27.0,false,24.0,6.7
8280636,339718,1450,155049,G. Guruli,true,,,false,,
3119811,245673,4343,58636,Z. Touré,true,D,15.0,true,90.0,6.5
7528363,135447,1684,140763,Nazeer Allie,true,D,2.0,true,90.0,6.9
200680,175236,53,19311,Jordan Hugill,false,,39.0,false,,
6672238,110310,1223,127179,N. Zamir,true,,55.0,false,,
1044741,7335,75,36403,Nik Tzanev,false,G,1.0,false,,
4215668,55707,549,86411,Marcus Andre Kaasa,false,M,15.0,false,16.0,6.5
6618489,313711,1230,126730,I. Cohen,true,,3.0,false,,
7780193,115866,1330,145641,D. Joković,false,D,15.0,false,,
4183716,267853,569,66107,Joshua Smits,true,G,1.0,false,90.0,6.4
5919759,127380,1525,92989,Nicolás Giménez,true,M,31.0,false,100.0,7.5
8439332,105737,1150,158129,Omar Cordoba,true,,19.0,false,,
2890937,239845,354,58106,F. Camus,true,,15.0,false,,
2872543,239342,1352,70101,Chissumba,true,M,55.0,false,90.0,6.9
1018289,196145,61,36106,Harry Smith,false,F,9.0,false,9.0,6.6
9954734,368791,210,58570,Nicolas Lemaitre,true,G,16.0,false,,
8837819,141051,1732,80590,A. Dixon,true,,15.0,false,,
1127472,198612,3189,48738,Guillermo Ochoa,false,,13.0,false,,
7519631,135720,1683,141578,Tlakusani Mthethwa,true,M,6.0,false,,
8350584,341094,1148,120121,Luis Ovalle,true,,,false,,
4858836,281834,742,95994,Kalle Joelsson,false,G,30.0,false,,
1044004,7315,77,47198,T. Brewitt,true,D,12.0,false,90.0,6.2
9111990,351773,2969,169225,B. Muchiri,true,,7.0,false,,
8790748,142463,1715,163370,P. Hogan,false,,3.0,false,,
2564793,232097,304,65905,Jeroen Veldmate,false,,4.0,false,,
4450897,274170,645,55041,Kevin Ruegg,true,D,22.0,false,90.0,5.8
2728800,235836,1345,68264,Bruno Moreira,true,,90.0,false,,
4264432,269705,585,73477,A. Tetteh,true,M,5.0,false,90.0,6.9
4650134,278912,710,93839,Facundo Mura,true,D,5.0,false,99.0,7.2
1717588,212063,3479,55010,Lorenzo Montipò,true,G,1.0,false,,
6521040,312764,1657,124327,A. Mouley,true,,,false,,
9532314,156629,1143,157560,Manuel Sanhouse,false,G,25.0,false,,
7801152,115759,1311,145280,Danko Kiković,true,M,4.0,false,,
1797793,213246,176,52748,Alberto Pomini,true,G,22.0,false,90.0,6.3
1668277,210926,159,52571,Davide Frattesi,false,M,16.0,false,20.0,6.7
99563,172218,24,18275,J. Bond,false,,30.0,false,,
2526373,23113,272,62862,Florian Niederlechner,true,M,7.0,false,73.0,9.3
1360668,204235,100,49953,Y. Qasmi,true,F,14.0,false,90.0,7.1
2650130,234292,301,67108,Marijn Dijkstra,false,G,16.0,false,,
6294586,308537,980,119418,Henry Rojas,true,D,17.0,false,90.0,6.6
3383067,252051,414,75536,S. Allardice,true,,18.0,false,,
857286,192228,69,18848,D. Charles,true,F,32.0,false,90.0,6.5
8248607,121157,1438,72118,Thibaud Sergeant,false,M,64.0,false,,
8292971,340066,1450,154854,L. Gegetchkori,true,,18.0,false,,
6622048,313810,1216,126648,C. Azriel,true,,7.0,false,,
7955781,332489,1127,146785,Miguel Carranza,false,M,7.0,false,9.0,6.6
4945047,284202,782,97004,A. Hansen,true,G,13.0,false,90.0,6.3
669167,187787,46,18633,C. Harriott,false,F,15.0,false,18.0,7.5
8701458,346433,1725,81165,R. Vincent,true,,6.0,false,,
8857640,349158,1606,164273,Mohammad Nawaz,true,G,13.0,false,90.0,6.4
5386428,294938,1824,67264,Argyris Kampetsis,false,F,99.0,false,,
6807595,144174,1775,129713,J. Alfaro,false,,,false,,
6496431,311016,1658,123494,O. Zouak,true,,,false,,
3771864,140457,486,81769,L. Haakenson,false,M,26.0,false,,
3390384,32026,412,75264,C. Hamilton,true,,5.0,false,,
4724781,95686,723,94795,Maximiliano Alanís,false,F,23.0,false,,
4115161,52146,530,85654,A. García,false,M,28.0,false,1.0,
5872522,302048,1525,112847,Hassan Amin,false,,14.0,false,,
272581,177240,88,18464,J. Wilson,true,D,14.0,false,,
