id,api_football_id,date_utc,league_id,home_team_id,away_team_id,goals_home,goals_away,status,referee_name,referee_api_id,created_at,updated_at,in_csv,in_pq,merged_rows,merged_football_data,status_norm,is_played,calendar_year,btts
199869,9638,2018-02-26 20:00:00,5,122,112,0,2,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2018,false
82355,,2020-08-16 00:00:00,31,817,796,3,3,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2020,true
124837,1009380,2023-06-09 15:00:00,74,1494,1492,1,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2023,false
593170,,2021-10-30 00:00:00,103,2653,2690,1,0,FT,A Jackson,,2026-03-23 22:07:17.018235,2026-03-23 22:07:17.018235,true,false,0,false,FT,true,2021,false
100185443,185443,2016-08-13 01:00:00,100000396,100004647,100004643,2,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2016,true
580677,,2017-06-03 00:00:00,76,481,476,2,1,FT,,,2026-03-11 00:06:18.776628,2026-03-11 00:06:18.776628,true,false,1,true,FT,true,2017,true
100413213,413213,2017-04-12 10:00:00,100000101,4378,499,0,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2017,false
378870,1506132,2026-03-07 22:00:00,72,1149,1143,0,1,FT,,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2026,false
607730,1381766,2026-04-10 16:00:00,113,671,663,0,4,FT,,,2026-03-23 22:32:11.141442,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2026,false
133855,1240354,2024-11-16 16:00:00,48,1652,1640,1,2,FT,A. Azrine,,2026-02-27 00:01:51.060209,2026-03-07 21:46:40.816589,true,true,0,false,FT,true,2024,true
100087408,87408,2018-08-05 08:00:00,100000277,100002488,100002487,1,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2018,true
100226501,226501,2016-04-21 17:00:00,100000402,100005550,100005549,1,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2016,true
84562,,2015-05-02 00:00:00,32,850,841,2,2,FT,,,,,false,true,1,true,FT,true,2015,true
241720,581199,2020-09-26 18:45:00,15,357,352,2,3,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,1,true,FT,true,2020,true
100699627,699627,2021-05-26 13:00:00,100000400,100005212,100005214,3,0,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2021,false
631802,1470784,2026-04-18 10:00:00,143,6488,6500,0,1,FT,,,2026-03-23 22:35:05.62016,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2026,false
100846071,846071,2022-03-12 20:00:00,100000907,100018705,100010972,0,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2022,false
619414,1336418,2025-05-06 21:00:00,127,1000,6263,2,1,FT,,,2026-03-23 22:33:38.372482,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2025,true
81564,,2016-09-25 00:00:00,31,798,4476,3,0,FT,,,,,false,true,1,true,FT,true,2016,false
100218758,218758,2019-05-05 13:00:00,100000400,100005199,100005204,0,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2019,false
269491,40161,2018-03-11 11:00:00,24,583,588,0,0,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,1,true,FT,true,2018,false
93922,838643,2022-04-12 22:00:00,57,940,944,0,0,FT,Ivan Guimarães Junior,,2026-02-27 00:01:51.060209,2026-03-10 11:52:44.33251,true,true,0,false,FT,true,2022,false
249727,868857,2023-04-02 11:00:00,17,398,397,0,2,FT,William Collum,,2026-02-27 00:01:51.060209,2026-03-07 22:24:23.32593,true,true,1,true,FT,true,2023,false
339278,542634,2014-09-16 14:00:00,71,1454,1458,6,0,FT,,,,,false,true,0,false,FT,true,2014,false
101514368,1514368,2026-01-12 00:00:00,100000422,100008402,100022944,1,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2026,true
216981,35614,2018-03-17 16:00:00,9,229,221,0,2,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2018,false
