id,name,country,fd_code,api_football_id,in_csv,in_pq
130,Premiership,Northern Ireland,NIR,408,true,false
100000896,Super Cup,United-Arab-Emirates,,896,false,false
45,Liga Pro Serie A,Ecuador,ECU,242,true,true
100000727,Super Cup,Poland,,727,false,false
91,UEFA Conference League,World,CUP-UECL,848,true,true
124,Super League 2,Greece,GRE2,494,true,false
100000114,Superettan,Sweden,,114,false,false
100000407,Championship,Northern-Ireland,,407,false,false
98,DFB Pokal,Germany,CUP-GER,81,true,true
100000852,Super Cup,Cyprus,,852,false,false
80,UEFA Nations League,World,INT-UNL,5,true,true
61,Premier League,Ukraine,UKR,333,true,true
100000550,Super Cup,Portugal,,550,false,false
24,Premier League,Russia,RUS,235,true,true
100000531,UEFA Super Cup,World,,531,false,false
100000930,Copa Uruguay,Uruguay,,930,false,false
29,Allsvenskan,Sweden,SWE,113,true,true
100000722,Liga Premier Serie A,Mexico,,722,false,false
132,Premier League,Kazakhstan,KAZ,389,true,false
70,Challenger Pro League,Belgium,BEL2,145,true,true
26,Super League,Switzerland,SWZ,207,true,true
51,Primera Division,Uruguay,URY,268,true,true
144,Premier League,Armenia,ARM,342,true,false
100000167,Cup,Iceland,,167,false,false
38,K League 1,South Korea,KOR,292,true,true
100000189,Capital Territory NPL,Australia,,189,false,false
81,Copa America,World,INT-COPA,9,true,true
100000412,Premier League,Botswana,,412,false,false
60,PSL,South Africa,ZAF,288,true,true
100000375,Cup,Slovenia,,375,false,false
100000110,Premier League,Wales,,110,false,false
92,Copa Libertadores,World,CUP-LIB,13,true,true
78,FIFA World Cup,World,INT-WC,1,true,true
100000851,Carioca A2,Brazil,,851,false,false
100000719,Super Cup,Kuwait,,719,false,false
100000504,King's Cup,Saudi-Arabia,,504,false,false
138,Superliga,Kosovo,XKX,664,true,false
100000802,Cup,Uzbekistan,,802,false,false
100001193,Super Cup,Kenya,,1193,false,false
100000654,Super Cup,Armenia,,654,false,false
