fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
188036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,,,,true,true,true,true,2019-05-27 15:45:00
631871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,true,false,true,,2024-09-21 13:45:00
366987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,false,true,false,true,2016-08-13 20:15:00
332120,12,6,7,0,7,1,5,5,2,3,0,0,6,1,3,2,0,1,0.98,0.29,,,,,,,,,1,0,,,,true,true,true,false,2019-07-21 02:45:00
137632,13,11,3,6,6,9,7,2,6,3,1,1,6,3,1,2,0,1,1.58,1.75,51,49,14,12,2,0,86,85,0,0,,,,true,true,true,false,2025-03-17 01:45:00
344891,25,12,9,4,14,9,11,3,11,1,0,0,12,5,0,2,0,0,2.0,1.14,43,57,4,9,1,1,77,84,0,0,,,,true,true,true,false,2026-01-18 15:15:00
276706,6,22,3,8,4,15,2,7,1,7,0,1,1,10,6,1,0,0,0.53,2.62,33,67,12,8,2,0,61,80,0,1,,,,true,true,true,false,2023-11-26 13:15:00
304809,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,2,0,0,,,,,,,,,,,0,2,,,,true,true,false,true,2020-02-21 18:45:00
193178,10,13,5,4,7,10,3,3,0,1,0,0,6,6,5,3,0,0,0.91,1.26,58,42,12,11,1,0,74,65,1,0,,,,true,true,true,false,2023-03-25 16:45:00
100427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,0,,,2026-03-10 11:54:13.257462,true,true,false,true,2022-03-20 01:00:00
225433,15,15,6,11,12,9,3,6,3,1,0,1,4,5,4,0,1,1,1.49,1.89,,,,,,,,,0,1,,,,true,true,true,false,2017-02-18 16:15:00
220448,0,0,6,6,0,0,0,0,0,0,0,0,6,5,4,2,0,0,,,,,,,,,,,,,,,,false,true,false,true,2015-03-13 20:45:00
138102,14,4,4,2,9,3,5,1,4,0,0,0,3,2,0,2,0,0,1.21,0.38,55,45,17,15,4,3,78,69,0,1,,,2026-03-10 12:06:51.316135,true,true,true,false,2021-09-11 23:45:00
246727,14,8,8,5,12,6,2,2,2,0,0,1,9,3,0,2,0,0,1.45,1.41,56,44,10,14,2,2,84,79,1,0,,,,true,true,true,false,2023-05-18 18:45:00
135885,5,9,5,1,0,0,0,0,0,0,0,0,2,3,0,1,1,0,,,,,13,9,0,0,,,1,0,,,2026-03-10 11:40:17.462143,true,true,false,true,2023-04-29 19:45:00
12240,18,9,5,2,11,8,7,1,6,1,1,0,6,5,3,3,0,1,2.16,0.96,51,49,9,15,3,3,83,81,1,1,,,,true,true,true,false,2024-05-11 20:45:00
165270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,0,2,,,2026-03-10 11:59:31.892655,true,true,false,true,2021-12-15 18:45:00
360361,7,29,1,9,4,17,3,12,3,9,1,0,2,7,2,3,1,0,,,,,,,,,,,,,,,,false,true,false,true,2016-11-24 17:45:00
152665,9,8,0,1,2,5,7,3,3,2,0,0,7,4,3,1,0,0,0.48,0.68,,,,,,,,,0,0,,,,true,true,true,false,2020-10-10 20:30:00
344713,7,21,0,7,4,16,3,5,1,5,0,0,5,7,4,5,0,0,0.57,2.02,62,38,9,17,0,2,85,73,0,1,,,,true,true,true,false,2025-08-29 19:45:00
377317,27,15,6,3,10,7,17,8,7,7,,,5,5,1,6,0,1,1.59,0.71,57,43,10,14,3,1,88,85,0,0,,,2026-07-04 21:34:46,false,false,true,false,2026-04-02 02:15:00
181445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,true,false,true,,2017-05-28 15:45:00
376927,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,1,,,2026-03-29 03:02:16.066722,true,false,true,,2026-03-23 01:45:00
296165,10,12,5,5,4,7,6,5,2,1,0,1,5,5,3,0,0,0,0.67,1.62,,,,,,,,,0,0,,,,true,true,true,false,2017-10-26 18:35:00
206009,17,9,2,4,9,5,8,4,7,1,0,0,11,3,2,4,0,1,1.32,0.72,67,33,10,20,0,6,79,56,0,0,,,,true,true,true,false,2024-11-30 19:15:00
29291,8,7,2,2,4,6,4,1,4,1,0,0,1,6,2,2,0,0,0.6,0.73,37,63,12,11,0,1,78,86,0,0,,,,true,true,true,false,2024-04-27 14:45:00
196868,7,19,3,5,3,8,4,11,0,6,0,0,6,5,1,2,1,1,0.49,1.31,35,65,11,10,2,3,70,82,1,0,,,,true,true,true,false,2024-09-07 15:45:00
341944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,true,false,true,,2017-01-28 20:45:00
304032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,true,false,false,,2020-03-05 17:50:00
613732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,true,false,true,,2024-10-26 16:45:00
100046182,6,8,4,5,,,,,,,,,2,4,3,4,,,,,49,51,14,16,3,3,,,1,0,,,2026-07-04 23:33:06,false,false,true,,2019-03-23 14:45:00
343312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,false,true,false,true,2016-09-26 19:45:00
101163993,19,10,7,4,9,4,10,6,8,4,,,9,3,1,2,0,0,1.86,1.02,67,33,11,14,1,3,88,75,1,2,,,2026-07-04 21:34:46,false,false,true,false,2024-08-26 18:45:00
344502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2019-10-25 19:45:00
