fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
378403,1.91,3.1,4.5,Bet365,API-Football,true,false,2026-02-28 10:30:00
277168,2.25,3.5,3.1,Bet365,API-Football-closing,true,false,2025-11-03 17:00:00
70161,1.68,3.91,5.79,Pinnacle,API-Football-closing,true,false,2016-04-02 00:00:00
245465,1.5,4.75,5.75,Bet365,CSV,false,true,2019-12-27 17:30:00
61118,2.04,3.87,3.58,Pinnacle,API-Football-closing,true,false,2021-01-30 00:00:00
201610,1.5,4.5,6.0,Bet365,CSV,false,true,2022-10-20 19:00:00
543577,4.18,3.54,1.95,Pinnacle,API-Football-closing,true,false,2014-08-09 00:00:00
191545,1.45,4.41,7.98,Pinnacle,API-Football-closing,true,false,2020-02-08 15:00:00
91286,1.22,7.0,15.5,Pinnacle,API-Football-closing,true,false,2017-03-13 00:00:00
264288,3.19,3.92,2.18,Pinnacle,API-Football-closing,true,true,2022-07-10 10:00:00
574452,1.6,4.12,5.67,Pinnacle,API-Football-closing,true,false,2019-08-09 00:00:00
552185,13.74,5.56,1.28,Pinnacle,API-Football-closing,true,false,2021-05-29 00:00:00
27631,1.64,4.01,5.67,Pinnacle,API-Football-closing,true,true,2023-12-10 17:30:00
75952,3.4,3.65,2.19,Pinnacle,API-Football-closing,true,false,2017-07-16 00:00:00
543476,1.23,6.65,13.5,Pinnacle,API-Football-closing,true,false,2014-04-30 00:00:00
556014,2.58,3.18,3.08,Pinnacle,API-Football-closing,true,false,2015-05-17 00:00:00
450828,2.77,3.5,2.61,Pinnacle,API-Football-closing,true,false,2017-12-30 00:00:00
140717,2.36,3.51,3.13,Pinnacle,API-Football-closing,true,false,2020-10-25 00:30:00
230142,2.15,3.4,3.3,Bet365,CSV,false,true,2019-10-27 11:30:00
16242,1.62,4.28,5.57,Pinnacle,API-Football-closing,true,true,2024-01-27 13:00:00
192050,2.7,3.1,2.75,Bet365,CSV,false,true,2021-03-27 15:00:00
534649,4.76,4.09,1.72,Pinnacle,API-Football-closing,true,false,2024-05-05 00:00:00
234736,1.66,3.75,5.5,Bet365,CSV,false,true,2022-03-19 19:00:00
21656,1.44,5.61,6.29,Pinnacle,API-Football-closing,true,true,2024-02-25 16:30:00
75319,1.83,3.88,4.55,Pinnacle,API-Football-closing,true,false,2014-10-03 00:00:00
253668,2.61,3.11,3.11,Pinnacle,API-Football-closing,true,false,2015-07-26 19:00:00
246964,1.79,3.88,4.43,Pinnacle,API-Football-closing,true,true,2025-01-18 16:00:00
192720,5.5,3.92,1.67,Pinnacle,API-Football-closing,true,true,2022-04-30 11:30:00
414095,2.26,3.02,3.96,Pinnacle,API-Football-closing,true,false,2017-04-02 00:00:00
538031,2.64,3.4,2.84,Pinnacle,API-Football-closing,true,false,2017-02-18 00:00:00
248870,1.18,7.59,18.6,Pinnacle,API-Football-closing,true,false,2019-04-06 14:00:00
