id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo,in_csv,in_pq
81083,87649,C. Simonin,,,,,,,https://media.api-sports.io/football/players/87649.png,true,true
174593,105764,D. Merendino,,,,,,,,true,true
142480,222774,D. Golaydo,,,,,,,,true,true
179736,154221,J. Wastell,,,,,,,,true,true
134820,532935,M. M. Ahmadi,,,,,,,,true,true
117542,269249,Geron Tocka,,,,,,,,true,true
170474,353406,J. Pereira,,,,,,,,true,true
136428,70321,Anderson,,,,,,,,true,true
202078,85838,H. Randriantsara,,,,,,,,true,true
168279,472469,Cameron Smith,,,,,,,https://media.api-sports.io/football/players/472469.png,true,true
116365,134700,Marko Žuljević,,,,,,,https://media.api-sports.io/football/players/134700.png,true,true
116914,137311,A. Hadjigavriel,,,,,,,,true,true
139788,221463,S. Hasanov,,,,,,,,true,true
125862,95334,H. Benítez,,,,,,,,true,true
159766,525839,Robin van Asten,,,,,,,https://media.api-sports.io/football/players/525839.png,true,true
214092,434917,Sana Mané,,,,,,,,true,true
83037,225160,T. Yokotake,,,,,,,,true,true
96193,47784,Sebastian Crona,,,,,,,https://media.api-sports.io/football/players/47784.png,true,true
56135,31612,Mariano Arini,,,,,,,https://media.api-sports.io/football/players/31612.png,true,true
162028,102562,O. Jiménez,,,,,,,,true,true
209666,437762,A. Dosso,,,,,,,,true,true
209084,398796,Y. El Menan,,,,,,,,true,true
170519,360445,G. Mpole,,,,,,,,true,true
202848,22761,L. Remond,,,,,,,,true,true
216944,133696,J. Wielinga,,,,,,,,true,true
134103,29900,A. Monazzemi,,,,,,,,true,true
206969,346549,M. Legal,,,,,,,,true,true
79329,349324,Matheus Zancan Buzatto,,,,,,,,true,true
218779,487508,D. Hellings,,,,,,,,true,true
132079,265697,Jakub Sova,,,,,,,,true,true
88012,43397,Ismail Yediev,,,,,,,https://media.api-sports.io/football/players/43397.png,true,true
70811,114281,J. Kamba,,,,,,,,true,true
106473,44416,Ali Alzubaidi,,,,,,,https://media.api-sports.io/football/players/44416.png,true,true
75055,117258,A. Neil,,,,,,,,true,true
124725,350131,A. Chaaraoui,,,,,,,,true,true
127993,51800,A. Ravecca,,,,,,,,true,true
145875,306351,Ryohei Miyazaki,,,,,,,,true,true
35823,17956,E. Osadebe,,,,,,,https://media.api-sports.io/football/players/17956.png,true,true
136889,268128,Joao Siqueira,,,,,,,https://media.api-sports.io/football/players/268128.png,true,true
108871,547427,Ri Yong-jik,,,,,,,,true,true
124485,302567,I. Boukhelifa,,,,,,,,true,true
63333,24917,Denis Thomalla,,,,,,,https://media.api-sports.io/football/players/24917.png,true,true
151660,369015,B. Rekić,,,,,,,,true,true
