fixture_id,league_id,date_utc,calendar_year,side,is_home,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,corners,possession,pass_accuracy,xg
284028,30,2022-03-13 15:00:00,2022,away,false,7,3,3,4,1,2,41,73,0.49
256404,19,2022-08-21 14:00:00,2022,away,false,18,9,11,7,3,4,65,87,1.51
209740,7,2021-01-03 14:00:00,2021,away,false,34,11,19,15,10,8,63,93,3.36
244162,16,2015-10-18 14:00:00,2015,home,true,15,2,10,5,8,8,,,1.33
145799,36,2024-10-20 11:00:00,2024,away,false,6,2,3,3,2,3,50,66,1.09
372732,19,2026-02-12 23:00:00,2026,home,true,13,5,9,4,1,3,61,83,1.18
93035,37,2024-03-01 17:00:00,2024,home,true,16,9,10,6,5,7,67,88,1.36
233046,13,2016-08-28 12:30:00,2016,home,true,7,4,4,3,0,3,,,0.57
349429,78,2018-06-20 18:00:00,2018,home,true,7,0,5,2,0,2,,,0.65
31013,17,2024-05-19 14:00:00,2024,home,true,13,5,11,2,3,7,65,80,1.34
124103,73,2022-03-11 19:00:00,2022,away,false,28,11,19,9,8,8,78,90,3.15
274295,26,2020-07-31 18:30:00,2020,home,true,19,2,9,10,5,4,,,1.39
372587,16,2026-05-02 17:00:00,2026,home,true,10,4,8,2,2,4,58,80,0.79
122747,73,2024-09-29 14:45:00,2024,away,false,9,4,4,5,1,5,49,76,0.64
47585,21,2023-11-25 05:00:00,2023,home,true,12,3,10,2,4,8,36,71,1.22
238447,14,2022-01-08 20:30:00,2022,home,true,18,4,14,4,4,9,65,82,1.75
254498,19,2017-08-19 22:00:00,2017,away,false,13,3,3,10,4,3,,,0.7
125979,37,2021-02-04 14:15:00,2021,away,false,7,3,5,2,2,3,31,66,0.65
213966,8,2022-12-26 19:30:00,2022,home,true,12,5,10,2,4,6,54,81,1.22
588796,40,2026-04-11 18:00:00,2026,home,true,12,3,6,6,3,7,69,88,0.55
101538470,26,2026-04-26 14:30:00,2026,home,true,23,12,19,4,4,4,48,88,3.78
